seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762617	762898	282	*	X00001	643837	762971	794826	31856	+	72	upstream	72	LINC01128
chr1	762617	762898	282	*	X00001	79854	761586	762902	1317	-	0	inside	3	LINC00115
chr1	894549	894648	100	*	X00003	26155	879583	894679	15097	-	0	inside	30	NOC2L
chr1	894549	894648	100	*	X00003	339451	895967	901099	5133	+	1318	upstream	1318	KLHL17
chr1	894840	894874	35	*	X00004	26155	879583	894679	15097	-	160	upstream	160	NOC2L
chr1	894840	894874	35	*	X00004	339451	895967	901099	5133	+	1092	upstream	1092	KLHL17
chr1	1051704	1051762	59	*	X00006	54991	1017198	1051736	34539	-	0	overlapStart	0	C1orf159
chr1	1051802	1051855	54	*	X00007	54991	1017198	1051736	34539	-	65	upstream	65	C1orf159
chr1	1167214	1167381	168	*	X00008	126792	1167629	1170420	2792	+	247	upstream	247	B3GALT6
chr1	1167214	1167381	168	*	X00008	51150	1152288	1167447	15160	-	0	inside	65	SDF4
chr1	1243682	1243799	118	*	X00009	126789	1243994	1247057	3064	+	194	upstream	194	PUSL1
chr1	1243993	1244153	161	*	X00010	126789	1243994	1247057	3064	+	0	overlapStart	0	PUSL1
chr1	1310439	1310574	136	*	X00011	54998	1309110	1310818	1709	-	0	inside	243	AURKAIP1
chr1	1310905	1311003	99	*	X00012	54998	1309110	1310818	1709	-	86	upstream	86	AURKAIP1
chr1	1342495	1342641	147	*	X00013	55052	1337276	1342693	5418	-	0	inside	51	MRPL20
chr1	1370752	1371040	289	*	X00014	64856	1370903	1378262	7360	+	0	overlapStart	0	VWA1
chr1	1447457	1447475	19	*	X00015	55210	1447523	1470067	22545	+	47	upstream	47	ATAD3A
chr1	1447659	1447678	20	*	X00016	55210	1447523	1470067	22545	+	0	inside	135	ATAD3A
chr1	1510248	1510398	151	*	X00017	29101	1477053	1510262	33210	-	0	overlapStart	0	SSU72
chr1	1655747	1655857	111	*	X00021	728642	1634170	1655791	21622	-	0	overlapStart	0	CDK11A
chr1	1655747	1655857	111	*	X00021	984	1571100	1655775	84676	-	0	overlapStart	0	CDK11B
chr1	1655889	1655926	38	*	X00022	728642	1634170	1655791	21622	-	97	upstream	97	CDK11A
chr1	1655889	1655926	38	*	X00022	984	1571100	1655775	84676	-	113	upstream	113	CDK11B
chr1	1850720	1851079	360	*	X00023	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1982176	1982190	15	*	X00024	5590	1981909	2116834	134926	+	0	inside	266	PRKCZ
chr1	3712899	3712929	31	*	X00027	57470	3696784	3713068	16285	-	0	inside	138	LRRC47
chr1	3712990	3713250	261	*	X00028	57470	3696784	3713068	16285	-	0	overlapStart	0	LRRC47
chr1	3773670	3773723	54	*	X00029	1677	3773845	3801993	28149	+	121	upstream	121	DFFB
chr1	3773670	3773723	54	*	X00029	9731	3728645	3773797	45153	-	0	inside	73	CEP104
chr1	3816677	3816812	136	*	X00030	100133612	3816968	3833879	16912	+	155	upstream	155	LINC01134
chr1	3816677	3816812	136	*	X00030	339448	3805697	3816857	11161	-	0	inside	44	C1orf174
